user_input,bot_response
فيه موقف سيارات قريب؟ (تكرار 8),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 8),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 8),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 9),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 9),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 9),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 9),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 9),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 9),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 9),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 9),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 9),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 9),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 10),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 10),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 10),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 10),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 10),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 10),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 10),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 10),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 10),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 10),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 11),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 11),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 11),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 11),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 11),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 11),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 11),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 11),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 11),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 11),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 12),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 12),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 12),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 12),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 12),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 12),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 12),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 12),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 12),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 12),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 13),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 13),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 13),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 13),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 13),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 13),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 13),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 13),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 13),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 13),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 14),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 14),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 14),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 14),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 14),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 14),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 14),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 14),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 14),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 14),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 15),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 15),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 15),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 15),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 15),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 15),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 15),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 15),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 15),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 15),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 16),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 16),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 16),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 16),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 16),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 16),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 16),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 16),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 16),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 16),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 17),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 17),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 17),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 17),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 17),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 17),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 17),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 17),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 17),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 17),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 18),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 18),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 18),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 18),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 18),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 18),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 18),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 18),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 18),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 18),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 19),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 19),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 19),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 19),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 19),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 19),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 19),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 19),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 19),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 19),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 20),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 20),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 20),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 20),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 20),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 20),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 20),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 20),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 20),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 20),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 21),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 21),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 21),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 21),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 21),دورات المياه قريبة من القطاع D، خلف البوابة 4.
هل أقدر أخرج وأرجع؟ (تكرار 21),نعم، تأكد من ختم التذكرة عند الخروج لتتمكن من العودة لاحقًا.
ضاعت تذكرتي، وش أسوي؟ (تكرار 21),توجه لخدمة العملاء عند البوابة الرئيسية مع إثبات الهوية.
فيه موقف سيارات قريب؟ (تكرار 21),نعم، المواقف متوفرة في الجهة الغربية من الملعب.
أبغى خريطة للملعب. (تكرار 21),تقدر تحصل على خريطة الملعب من تطبيق الفعالية أو عند البوابة.
وش أقدر آخذ معي داخل الملعب؟ (تكرار 21),مسموح بالماء والكاميرا غير الاحترافية، الممنوعات موضحة عند البوابة.
أين مقعدي إذا رقم التذكرة 12345؟ (تكرار 22),مقعدك هو 15 في القطاع B. ادخل من البوابة 3 واتجه يساراً نحو الممر 5.
أين أقرب مخرج من موقعي؟ (تكرار 22),أقرب مخرج لك هو المخرج 2 على بعد 50 متر. اتجه نحو الممر الرئيسي.
هل فيه مطاعم داخل الملعب؟ (تكرار 22),نعم، يوجد عدة مطاعم في الجناح الشمالي والشرقي للملعب.
كم باقي على بداية المباراة؟ (تكرار 22),المباراة تبدأ بعد 20 دقيقة، تأكد من الوصول لمقعدك قبل ذلك.
وين دورات المياه؟ (تكرار 22),دورات المياه قريبة من القطاع D، خلف البوابة 4.
